pc	pc_index	covariate	correlation	abs_correlation	p_value	n_cells_used	fdr
PC1	1	detected_genes	-0.540741126159851	0.540741126159851	2.04342547477168e-83	1085	6.13027642431504e-82
PC1	1	pct_mito	-0.083158942731267	0.083158942731267	0.00612913902130805	1085	0.0122582780426161
PC1	1	total_counts	-0.395238719248405	0.395238719248405	6.92512944085855e-42	1085	5.19384708064391e-41
PC2	2	detected_genes	0.270741078003636	0.270741078003636	1.1076983454446e-19	1085	6.64619007266761e-19
PC2	2	pct_mito	-0.0443627948902719	0.0443627948902719	0.1442033369236	1085	0.180254171154501
PC2	2	total_counts	0.202042604212832	0.202042604212832	1.8567476350193e-11	1085	6.18915878339768e-11
PC3	3	detected_genes	-0.0695429935345479	0.0695429935345479	0.0219730391824838	1085	0.0346942723933955
PC3	3	pct_mito	0.149061089358468	0.149061089358468	8.14371641233248e-07	1085	1.87931917207673e-06
PC3	3	total_counts	0.00881967796601361	0.00881967796601361	0.771674613550987	1085	0.79828408298378
PC4	4	detected_genes	-0.0514360736813196	0.0514360736813196	0.0903720721997251	1085	0.117876615912685
PC4	4	pct_mito	-0.165044910733811	0.165044910733811	4.55805224607583e-08	1085	1.24310515802068e-07
PC4	4	total_counts	0.0721986227777403	0.0721986227777403	0.0173814383756298	1085	0.030673126545229
PC5	5	detected_genes	0.53967264619174	0.53967264619174	4.94953821387253e-83	1085	7.42430732080879e-82
PC5	5	pct_mito	-0.268244760944651	0.268244760944651	2.45214094158196e-19	1085	1.22607047079098e-18
PC5	5	total_counts	0.465522429884005	0.465522429884005	1.87883291594429e-59	1085	1.87883291594429e-58
PC6	6	detected_genes	-0.0627037318695572	0.0627037318695572	0.0389162847143966	1085	0.058374427071595
PC6	6	pct_mito	-0.0353784954592278	0.0353784954592278	0.244275941346751	1085	0.281856855400097
PC6	6	total_counts	-0.103983965248406	0.103983965248406	0.00060242943354186	1085	0.00129092021473256
PC7	7	detected_genes	0.179160849152554	0.179160849152554	2.80221429461484e-09	1085	8.4066428838445e-09
PC7	7	pct_mito	-0.0586805046015011	0.0586805046015011	0.0533182676618144	1085	0.076168953802592
PC7	7	total_counts	0.233758112038957	0.233758112038957	6.2269549971436e-15	1085	2.66869499877583e-14
PC8	8	detected_genes	0.0696829374922731	0.0696829374922731	0.0217070760453547	1085	0.0346942723933955
PC8	8	pct_mito	-0.0519978543169656	0.0519978543169656	0.0869042594615349	1085	0.117876615912685
PC8	8	total_counts	0.0388822437456403	0.0388822437456403	0.200628494908475	1085	0.24075419389017
PC9	9	detected_genes	-0.00774736264244095	0.00774736264244095	0.798798276879981	1085	0.798798276879981
PC9	9	pct_mito	0.21047402720115	0.21047402720115	2.49683778508306e-12	1085	9.36314169406147e-12
PC9	9	total_counts	-0.00897857414885	0.00897857414885	0.767678143956445	1085	0.79828408298378
PC10	10	detected_genes	0.0745898478768765	0.0745898478768765	0.0139895275607303	1085	0.0262303641763694
PC10	10	pct_mito	0.164273657117606	0.164273657117606	5.27337733979385e-08	1085	1.31834433494846e-07
PC10	10	total_counts	-0.0206356999511089	0.0206356999511089	0.497128300544448	1085	0.55236477838272
