pathway,crc_vs_hep_pooled_hallmark
HALLMARK_ADIPOGENESIS,-2.03945424580608
HALLMARK_ANDROGEN_RESPONSE,-1.97099299553442
HALLMARK_BILE_ACID_METABOLISM,-2.61818818640082
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-1.55621769187773
HALLMARK_COAGULATION,-2.72111197836747
HALLMARK_COMPLEMENT,-1.97001114879548
HALLMARK_DNA_REPAIR,1.37859219232937
HALLMARK_E2F_TARGETS,3.21253665828993
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.71551312989649
HALLMARK_ESTROGEN_RESPONSE_EARLY,1.37352201298253
HALLMARK_ESTROGEN_RESPONSE_LATE,1.77071774286723
HALLMARK_FATTY_ACID_METABOLISM,-2.27713876483761
HALLMARK_G2M_CHECKPOINT,3.15269798949871
HALLMARK_GLYCOLYSIS,1.38141466872698
HALLMARK_HYPOXIA,-1.40849101448723
HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.7562752232141
HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.85229098579368
HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.71230783790773
HALLMARK_MITOTIC_SPINDLE,2.30979057915472
HALLMARK_MTORC1_SIGNALING,1.35840333520619
HALLMARK_MYC_TARGETS_V1,1.52444057776588
HALLMARK_MYC_TARGETS_V2,1.75561973537725
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-1.7742249171657
HALLMARK_PEROXISOME,-2.02644599415162
HALLMARK_PROTEIN_SECRETION,-1.84923551615622
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.63901623282045
HALLMARK_SPERMATOGENESIS,1.96117160202247
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-1.44684335394894
HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.89823285000594
HALLMARK_XENOBIOTIC_METABOLISM,-2.76504297032901
