"PC1","PC2","group","cell_line","name"
-87.4573007444432,-3.64666852642192,"Hep","Hep","Hep_D1_1"
-87.0235471972914,-3.50412297328222,"Hep","Hep","Hep_D1_2"
-87.3187810470664,-3.44758620631947,"Hep","Hep","Hep_D1_3"
-96.5366763918527,-1.62690907575905,"Hep","Hep","Hep_D2_1"
-95.8048978367346,-2.13699213220645,"Hep","Hep","Hep_D2_2"
-94.9007701477794,-1.29548785297814,"Hep","Hep","Hep_D2_3"
-98.9369826966,-0.89506920128423,"Hep","Hep","Hep_D3_1"
-99.5089317288681,-0.776202960022848,"Hep","Hep","Hep_D3_2"
-99.2384771696152,-0.645770428220787,"Hep","Hep","Hep_D3_3"
-99.6187409881916,-1.03627236373576,"Hep","Hep","Hep_D4_1"
-100.095318425874,-0.608761488267416,"Hep","Hep","Hep_D4_2"
-99.3000009310094,-0.592334833538287,"Hep","Hep","Hep_D4_3"
-98.5015636204267,-0.982950699652663,"Hep","Hep","Hep_DMSO_1"
-98.5665935539297,-0.547318350681478,"Hep","Hep","Hep_DMSO_2"
-98.3515334509932,-0.62475605836861,"Hep","Hep","Hep_DMSO_3"
27.0375392207729,14.4513301002816,"SW1116","SW1116","SW1116_D1_1"
27.3208683260194,14.3914480963052,"SW1116","SW1116","SW1116_D1_2"
27.446540410618,14.6627933588489,"SW1116","SW1116","SW1116_D1_3"
28.9164436059116,16.4283403978783,"SW1116","SW1116","SW1116_D2_1"
29.2653775264909,16.386387249802,"SW1116","SW1116","SW1116_D2_2"
29.5689260274276,16.3976028620909,"SW1116","SW1116","SW1116_D2_3"
30.2411438701839,16.5863127069531,"SW1116","SW1116","SW1116_D3_1"
29.2541832784108,14.6394591780591,"SW1116","SW1116","SW1116_D3_2"
29.0950205260858,14.1455881894676,"SW1116","SW1116","SW1116_D3_3"
30.1466248380947,14.7978709516461,"SW1116","SW1116","SW1116_D4_1"
30.5863138206801,14.9416879002591,"SW1116","SW1116","SW1116_D4_2"
31.1710874439251,15.2792024803069,"SW1116","SW1116","SW1116_D4_3"
30.330280245524,13.7386021070088,"SW1116","SW1116","SW1116_DMSO_1"
29.0449491580757,12.3450759131513,"SW1116","SW1116","SW1116_DMSO_2"
30.1086695512566,13.7391856357575,"SW1116","SW1116","SW1116_DMSO_3"
34.3766809875667,-40.1817645291827,"SW48","SW48","SW48_D1_1"
34.0346764311856,-40.5925004749351,"SW48","SW48","SW48_D1_2"
33.9681171617941,-40.3713580306876,"SW48","SW48","SW48_D1_3"
34.5992951858353,-38.923248548832,"SW48","SW48","SW48_D2_1"
34.4493206802701,-40.5040959546802,"SW48","SW48","SW48_D2_2"
33.1646500526045,-39.751685377855,"SW48","SW48","SW48_D2_3"
35.3152789854488,-40.8207624807219,"SW48","SW48","SW48_D3_1"
35.5927045853547,-40.2510618275199,"SW48","SW48","SW48_D3_2"
35.8686299494736,-40.2897751200424,"SW48","SW48","SW48_D3_3"
36.5547629673527,-40.4937779697539,"SW48","SW48","SW48_D4_1"
36.2502931801595,-40.3882675962389,"SW48","SW48","SW48_D4_2"
36.3683847955498,-40.2450181566936,"SW48","SW48","SW48_D4_3"
36.4216251306505,-40.5003260418313,"SW48","SW48","SW48_DMSO_1"
36.3549874489335,-40.2003559475776,"SW48","SW48","SW48_DMSO_2"
36.107782609699,-39.9342117229786,"SW48","SW48","SW48_DMSO_3"
29.8253529592338,25.6893253617924,"SW480","SW480","SW480_D1_1"
30.2507411939285,26.0208642609246,"SW480","SW480","SW480_D1_2"
30.0067265520136,25.5488065982622,"SW480","SW480","SW480_D1_3"
30.6352160999346,26.4625016636758,"SW480","SW480","SW480_D2_1"
31.3114213249407,26.7803358575661,"SW480","SW480","SW480_D2_2"
31.0928514008,26.6174954333123,"SW480","SW480","SW480_D2_3"
31.3649568392346,28.2967168665958,"SW480","SW480","SW480_D3_1"
31.5016699580022,27.1793952425111,"SW480","SW480","SW480_D3_2"
31.4483052849653,26.8775994026524,"SW480","SW480","SW480_D3_3"
32.8279629493856,27.3152198761381,"SW480","SW480","SW480_D4_1"
32.2141516354077,27.503189492949,"SW480","SW480","SW480_D4_2"
32.1014211951283,27.2671371492149,"SW480","SW480","SW480_D4_3"
32.6554385056929,27.1828900868963,"SW480","SW480","SW480_DMSO_1"
32.3273217016625,26.7649101648318,"SW480","SW480","SW480_DMSO_2"
32.6354203289903,27.3781383451308,"SW480","SW480","SW480_DMSO_3"
